Licensee,City,State,Call,Frequency,Channel,Non-Directional?,Class,Status,File Number,Effective Radiated Power (Horizontal),Effective Radiated Power (Vertical),Antenna Height Above Average Terrain (Horizontal),Antenna Height Above Average Terrain (Vertical),Facility ID,lat_d,lat_deg,lat_min,lat_sec,lng_d,lng_deg,lng_min,lng_sec,Antenna Height Above Mean Sea Level (Horizontal),Antenna Height Above Mean Sea Level (Vertical),Antenna ID #,Pattern Rotation,ASRN,Antenna Height Above Ground Level,CDBS ID #
"COLUMBIA FM, INC.                                                           ",BERWICK                  ,PA ,WHLM-FM     ,103.5 MHz ,278,ND  ,A  ,LIC    ,BLH    -19970801KG  ,4.1    kW ,4.1    kW ,118,118,141,N ,41,5,11,W ,76,16,41,379.   m,379.0  m,-         ,-       ,-       ,53.    m,251396
"CCR-MONTROSE IV, LLC                                                        ",RIDGWAY                  ,CO ,KSNN        ,103.7 MHz ,279,ND  ,C2 ,LIC    ,BLH    -20030521ABD ,4.1    kW ,4.1    kW ,480,480,89280,N ,38,23,15,W ,107,40,31,2860.  m,2860.0 m,-         ,-       ,-       ,7.     m,678419
"COX RADIO, INC.                                                             ",MAYSVILLE                ,GA ,WXKT        ,103.7 MHz ,279,ND  ,C3 ,LIC    ,BLH    -20090918ACK ,4.1    kW ,4.1    kW ,250,250,3078,N ,34,22,39,W ,83,39,35,570.   m,570.0  m,-         ,-       ,1016667,172.   m,1334242
"MORGAN COUNTY INDUSTRIES, INC.                                              ",CAMPTON                  ,KY ,WCBJ        ,103.7 MHz ,279,ND  ,A  ,LIC    ,BLH    -19990621KE  ,4.1    kW ,4.1    kW ,121,121,82447,N ,37,39,3,W ,83,26,21,430.   m,430.0  m,-         ,-       ,-       ,14.    m,286406
UNIVISION RADIO LICENSE CORPORATION                                         ,INGLEWOOD                ,CA ,KRCD        ,103.9 MHz ,280,ND  ,A  ,LIC    ,BMLH   -20021025ABJ ,4.1    kW ,4.1    kW ,118,118,1025,N ,34,0,26,W ,118,21,54,190.   m,190.0  m,-         ,-       ,1026120,53.    m,615593
CBS RADIO INC. OF ILLINOIS                                                  ,CHICAGO                  ,IL ,WJMK        ,104.3 MHz ,282,ND  ,B  ,LIC    ,BMLH   -20011031AAC ,4.1    kW ,4.1    kW ,480,480,28621,N ,41,52,44,W ,87,38,8,659.   m,659.0  m,-         ,-       ,1032960,478.   m,585647
"POSITIVE ALTERNATIVE RADIO, INC.                                            ",SURGOINSVILLE            ,TN ,WEYE        ,104.3 MHz ,282,ND  ,A  ,LIC    ,BMLED  -20120629AAA ,4.1    kW ,4.1    kW ,121,121,73872,N ,36,32,5,W ,82,47,52,579.   m,579.0  m,-         ,-       ,-       ,43.    m,1504588
TRI-VALLEY BROADCASTING CORPORATION                                         ,HINSDALE                 ,NH ,WYRY        ,104.9 MHz ,285,DA  ,A  ,LIC    ,BLH    -20010402AAV ,4.1    kW ,4.1    kW ,122,122,67813,N ,42,46,33,W ,72,27,17,344.   m,344.0  m,34169,39,1035543,85.    m,558910
"CENTENNIAL LICENSING II, LLC                                                ",STRASBURG                ,VA ,WZFC        ,104.9 MHz ,285,ND  ,A  ,LIC    ,BLH    -20060124AFU ,4.1    kW ,4.1    kW ,65.7,65.7,60362,N ,39,1,6,W ,78,25,35,409.   m,409.0  m,-         ,-       ,1017985,57.9   m,1108892
"TWO RIVERS COMMUNICATIONS, INC.                                             ",WHITE STONE              ,VA ,WIGO-FM     ,104.9 MHz ,285,ND  ,A  ,LIC    ,BLH    -20070820ACF ,4.1    kW ,4.1    kW ,122,122,72904,N ,37,43,25,W ,76,23,28.8,127.1  m,127.1  m,-         ,-       ,1257017,102.1  m,1216818
