Licensee,City,State,Call,Frequency,Channel,Non-Directional?,Class,Status,File Number,Effective Radiated Power (Horizontal),Effective Radiated Power (Vertical),Antenna Height Above Average Terrain (Horizontal),Antenna Height Above Average Terrain (Vertical),Facility ID,lat_d,lat_deg,lat_min,lat_sec,lng_d,lng_deg,lng_min,lng_sec,Antenna Height Above Mean Sea Level (Horizontal),Antenna Height Above Mean Sea Level (Vertical),Antenna ID #,Pattern Rotation,ASRN,Antenna Height Above Ground Level,CDBS ID #
-                                                                           ,MONTERREY                ,NL ,XHQIFM      ,102.1 MHz ,271,ND  ,C  ,OPER   ,-      --           ,99.6   kW ,0.     kW ,-136,0,95661,N ,25,37,34,W ,100,19,11,0.     m,0.0    m,-         ,-       ,-       ,0.     m,296147
MINNESOTA PUBLIC RADIO                                                      ,WORTHINGTON-MARSHALL     ,MN ,KNSW        ,91.7  MHz ,219,ND  ,C1 ,LIC    ,BMLED  -19931019KC  ,99.    kW ,99.    kW ,243,243,42947,N ,43,53,1,W ,95,55,44,758.   m,758.0  m,-         ,-       ,1024631,200.   m,191012
"WRD ENTERTAINMENT, INC.                                                     ",BATESVILLE               ,AR ,KZLE        ,93.1  MHz ,226,ND  ,C1 ,LIC    ,BLH    -20030508ACQ ,99.    kW ,99.    kW ,300,300,72262,N ,35,53,29,W ,91,43,31,465.   m,465.0  m,-         ,-       ,1009325,209.   m,657275
KBUF PARTNERSHIP                                                            ,LEOTI                    ,KS ,KWKR        ,99.9  MHz ,260,ND  ,C1 ,LIC    ,BLH    -19930623KB  ,99.    kW ,99.    kW ,121,121,67042,N ,38,16,39,W ,101,17,50,1110.  m,1110.0 m,-         ,-       ,-       ,116.   m,187512
"KANZA, INC.                                                                 ",CARROLLTON               ,MO ,KMZU        ,100.7 MHz ,264,ND  ,C1 ,LIC    ,BLH    -19900917KA  ,99.    kW ,99.    kW ,302,302,33386,N ,39,21,59,W ,93,24,12,516.   m,516.0  m,-         ,-       ,-       ,272.   m,152407
"KJUL LICENSE, LLC                                                           ",BOULDER CITY             ,NV ,KCYE        ,102.7 MHz ,274,ND  ,C  ,LIC    ,BLH    -20010709ABU ,99.    kW ,99.    kW ,603,603,57281,N ,35,56,46,W ,115,2,34,1390.  m,1390.0 m,-         ,-       ,1020486,73.    m,572807
"JAMES RIVER BROADCASTING, INC.                                              ",WIMBLEDON                ,ND ,KRVX        ,103.1 MHz ,276,ND  ,C1 ,LIC    ,BLH    -20051026ACF ,99.    kW ,99.    kW ,144,144,164198,N ,46,56,21,W ,98,18,30,587.   m,587.0  m,-         ,-       ,1246608,142.   m,1091999
WILKS LICENSE COMPANY-LUBBOCK LLC                                           ,TULIA                    ,TX ,KBTE        ,104.9 MHz ,285,ND  ,C1 ,LIC    ,BMLH   -20051013AAC ,99.    kW ,99.    kW ,298,298,1302,N ,33,57,35,W ,101,35,20,1286.  m,1286.0 m,-         ,-       ,1239447,286.   m,1091937
"IDA-VEND COMPANY, INC.                                                      ",LEWISTON                 ,ID ,KMOK        ,106.9 MHz ,295,ND  ,C  ,LIC    ,BLH    -19830321AW  ,99.    kW ,99.    kW ,375,375,28214,N ,46,27,33,W ,117,2,18,962.   m,962.0  m,-         ,-       ,-       ,84.    m,54591
"CC LICENSES, LLC                                                            ",PASCAGOULA               ,MS ,WKNN-FM     ,99.1  MHz ,256,DA  ,C1 ,LIC    ,BLH    -20020226ACB ,99.    kW ,97.3   kW ,300,300,61367,N ,30,29,9,W ,88,42,53,308.   m,308.0  m,33637,0,1040515,297.   m,595560
WATERSPRINGS MINISTRIES                                                     ,RIRIE                    ,ID ,KYSK        ,88.7  MHz ,204,DA  ,C  ,LIC    ,BLED   -20121119AFM ,98.    kW ,98.    kW ,554,554,176751,N ,43,43,53,W ,111,21,55,2623.  m,2623.0 m,108624,0,-       ,38.    m,1528089
"WJCT, INC.                                                                  ",JACKSONVILLE             ,FL ,WJCT-FM     ,89.9  MHz ,210,ND  ,C1 ,LIC    ,BMLED  -20110930ARB ,98.    kW ,98.    kW ,251,251,73125,N ,30,16,51,W ,81,34,12,256.   m,256.0  m,-         ,-       ,1235223,253.   m,1447286
"CLEAR CHANNEL BROADCASTING LICENSES, INC.                                   ",CALLAHAN                 ,FL ,WJBT        ,93.3  MHz ,227,ND  ,C1 ,LIC    ,BLH    -20120611ABK ,98.    kW ,98.    kW ,302,302,51975,N ,30,16,51,W ,81,34,12.9,308.   m,308.0  m,-         ,-       ,1235223,306.   m,1503682
CUMULUS LICENSING LLC                                                       ,SAVANNAH                 ,GA ,WIXV        ,95.5  MHz ,238,ND  ,C1 ,LIC    ,BLH    -20030514ADV ,98.    kW ,98.    kW ,301.2,301.2,54799,N ,32,3,29,W ,81,20,19,307.8  m,307.8  m,-         ,-       ,1032655,302.   m,661096
"CMP HOUSTON-KC, LLC                                                         ",OTTAWA                   ,KS ,KCHZ        ,95.7  MHz ,239,ND  ,C1 ,LIC    ,BMLH   -20031103ADD ,98.    kW ,98.    kW ,299,299,33332,N ,39,0,45,W ,95,1,46,566.   m,566.0  m,-         ,-       ,1044528,308.   m,698637
UNIVISION RADIO LICENSE CORPORATION                                         ,SCHERTZ                  ,TX ,KBBT        ,98.5  MHz ,253,ND  ,C1 ,LIC    ,BLH    -20010122AIJ ,98.    kW ,98.    kW ,302,302,3075,N ,29,31,25,W ,98,43,25,612.   m,612.0  m,-         ,-       ,1051212,332.   m,555539
-                                                                           ,TORONTO                  ,ON ,CBLA        ,99.1  MHz ,256,ND  ,C1 ,OPER   ,-      --           ,98.    kW ,98.    kW ,304,304,130903,N ,43,38,56,W ,79,22,55,437.   m,437.0  m,-         ,-       ,-       ,0.     m,539708
JOURNAL BROADCAST CORPORATION                                               ,OAK RIDGE                ,TN ,WCYQ        ,100.3 MHz ,262,ND  ,C  ,CP     ,BPH    -20140609ABV ,98.    kW ,98.    kW ,618.2,618.2,49923,N ,36,11,54,W ,84,13,52,1110.  m,1110.0 m,-         ,-       ,-       ,36.6   m,1640524
"INSPIRATION MEDIA OF TEXAS, LLC                                             ",HIGHLAND VILLAGE         ,TX ,KWRD-FM     ,100.7 MHz ,264,ND  ,C  ,LIC    ,BLH    -20120831ABC ,98.    kW ,98.    kW ,606,606,6560,N ,33,32,14,W ,96,49,54,821.   m,821.0  m,-         ,-       ,1227538,602.   m,1513821
"COX RADIO, INC.                                                             ",HELOTES                  ,TX ,KONO-FM     ,101.1 MHz ,266,ND  ,C1 ,LIC    ,BMLH   -20001010ACP ,98.    kW ,98.    kW ,302,302,50030,N ,29,31,25,W ,98,43,25,612.   m,612.0  m,-         ,-       ,1051212,332.   m,527248
"KESN ASSETS, LLC                                                            ",ALLEN                    ,TX ,KESN        ,103.3 MHz ,277,ND  ,C  ,LIC    ,BLH    -20121206AEI ,98.    kW ,98.    kW ,606,606,58265,N ,33,32,13.5,W ,96,49,53.5,821.   m,821.0  m,-         ,-       ,1227538,602.   m,1518414
"CLEAR CHANNEL BROADCASTING LICENSES, INC.                                   ",GREEN COVE SPRINGS       ,FL ,WWJK        ,107.3 MHz ,297,ND  ,C1 ,LIC    ,BMLH   -20120611ABL ,98.    kW ,98.    kW ,302,302,51974,N ,30,16,51,W ,81,34,12,310.   m,310.0  m,-         ,-       ,1235223,307.   m,1503670
"COX RADIO, INC.                                                             ",LAKE JACKSON             ,TX ,KGLK        ,107.5 MHz ,298,ND  ,C  ,LIC    ,BMLH   -20040903ABA ,98.    kW ,98.    kW ,601,601,59951,N ,29,17,16,W ,95,13,53,604.   m,604.0  m,-         ,-       ,1049267,599.   m,1010217
TICHENOR LICENSE CORPORATION                                                ,SAN ANTONIO              ,TX ,KXTN-FM     ,107.5 MHz ,298,ND  ,C0 ,LIC    ,BLH    -20060612AAY ,98.    kW ,98.    kW ,453,453,67064,N ,29,16,29,W ,98,15,52,611.   m,611.0  m,-         ,-       ,1206963,448.   m,1132147
"FRANDSEN MEDIA COMPANY, LLC                                                 ",EVANSTON                 ,WY ,KADQ-FM     ,98.3  MHz ,252,DA  ,C  ,CP     ,BPH    -20080325AIH ,98.    kW ,0.     kW ,623,0,164152,N ,40,52,16,W ,110,59,43,3307.  m,0.0    m,97004,0,-       ,24.    m,1345850
-                                                                           ,TORONTO                  ,ON ,-           ,99.1  MHz ,256,DA  ,C1 ,OPER   ,-      --           ,98.    kW ,0.     kW ,304,0,94266,N ,43,38,56,W ,79,22,55,421.   m,0.0    m,-         ,0,-       ,0.     m,288541
-                                                                           ,VANCOUVER                ,BC ,CBU-2-FM    ,88.1  MHz ,201,DA  ,C  ,USE    ,-      -20120416CA1 ,97.6   kW ,97.6   kW ,605.8,605.8,190366,N ,49,21,14,W ,122,57,18,915.8  m,915.8  m,109029,0,-       ,0.     m,1496210
"BIBLE BROADCASTING NETWORK, INC.                                            ",GAINESVILLE              ,FL ,WYFB        ,90.5  MHz ,213,DA  ,C1 ,LIC    ,BMLED  -20000606ACG ,97.    kW ,97.    kW ,207,207,5083,N ,29,52,8,W ,82,12,4,248.   m,248.0  m,13947,0,1002310,202.   m,502491
FORT BERTHOLD COMMUNICATIONS ENTERPRISES                                    ,FOUR BEARS               ,ND ,KMHA        ,91.3  MHz ,217,ND  ,C1 ,LIC    ,BLED   -19840612DO  ,97.    kW ,97.    kW ,137,137,22806,N ,47,44,23,W ,102,43,24,827.   m,827.0  m,-         ,-       ,-       ,90.    m,70237
"RADIO LICENSE HOLDING CBC, LLC                                              ",SYRACUSE                 ,NY ,WNTQ        ,93.1  MHz ,226,ND  ,B  ,LIC    ,BMLH   -20000606AAN ,97.    kW ,97.    kW ,201,201,50514,N ,42,56,48,W ,76,1,28,512.   m,512.0  m,-         ,-       ,1016351,30.    m,500819
"EMMIS AUSTIN RADIO BROADCASTING COMPANY, L.P.                               ",AUSTIN                   ,TX ,KLBJ-FM     ,93.7  MHz ,229,ND  ,C  ,LIC    ,BMLH   -20070405ABS ,97.    kW ,97.    kW ,320,320,65792,N ,30,18,36,W ,97,47,33,539.   m,539.0  m,-         ,-       ,1043248,264.   m,1180360
"STEPHENS MEDIA GROUP WATERTOWN,                                             ",WATERTOWN                ,NY ,WFRY-FM     ,97.5  MHz ,248,ND  ,C1 ,LIC    ,BLH    -19990113KC  ,97.    kW ,97.    kW ,145,145,71094,N ,43,57,23,W ,75,50,45,387.   m,387.0  m,-         ,-       ,1042270,99.    m,279855
"MY TOWN MEDIA, INC.                                                         ",KIOWA                    ,KS ,KQZQ        ,98.3  MHz ,252,ND  ,C1 ,LIC    ,BLH    -20100218AAB ,97.    kW ,97.    kW ,208.9,208.9,164275,N ,37,24,9,W ,98,34,51,741.3  m,741.3  m,-         ,-       ,1269832,205.8  m,1357086
MINNESOTA PUBLIC RADIO                                                      ,CLOQUET                  ,MN ,WSCN        ,100.5 MHz ,263,ND  ,C1 ,LIC    ,BLED   -19900717KA  ,97.    kW ,97.    kW ,267,267,42975,N ,46,47,21,W ,92,6,51,572.   m,572.0  m,-         ,-       ,-       ,192.   m,150313
MAX RADIO OF DENVER LLC                                                     ,STRASBURG                ,CO ,KJHM        ,101.5 MHz ,268,ND  ,C  ,LIC    ,BMLH   -20141014ACF ,97.    kW ,97.    kW ,625,625,38629,N ,39,55,22,W ,103,58,18,2109.  m,2109.0 m,-         ,-       ,1237165,600.   m,1649272
"EAGLE COMMUNICATIONS, INC.                                                  ",HILL CITY                ,KS ,KKQY        ,101.9 MHz ,270,ND  ,C1 ,LIC    ,BLH    -19980508KD  ,97.    kW ,97.    kW ,303,303,54891,N ,39,1,15,W ,99,28,12,955.   m,955.0  m,-         ,-       ,1032123,263.   m,266761
"AMFM RADIO LICENSES, L.L.C.                                                 ",WAYCROSS                 ,GA ,WYNR        ,102.5 MHz ,273,ND  ,C1 ,LIC    ,BMLH   -20140627ABP ,97.    kW ,97.    kW ,303,303,57785,N ,31,9,22,W ,81,58,19,319.   m,319.0  m,-         ,-       ,1020334,302.   m,1637783
MAX RADIO OF DENVER LLC                                                     ,BENNETT                  ,CO ,KXDE        ,107.1 MHz ,296,ND  ,C  ,LIC    ,BMLH   -20141014ACE ,97.    kW ,97.    kW ,624,624,35023,N ,39,55,22,W ,103,58,18,2109.  m,2109.0 m,-         ,-       ,1237165,600.   m,1649273
"TOWNSQUARE MEDIA OF LAFAYETTE, LLC                                          ",ERATH                    ,LA ,KHXT        ,107.9 MHz ,300,ND  ,C1 ,LIC    ,BMLH   -20120113AAI ,97.    kW ,97.    kW ,263,263,54650,N ,30,12,6,W ,91,46,37,266.   m,266.0  m,-         ,-       ,1026813,263.   m,1483187
COWAN BROADCASTING LLC                                                      ,BEND                     ,OR ,KNLR        ,97.5  MHz ,248,ND  ,C1 ,LIC    ,BLH    -19850114LW  ,97.    kW ,42.    kW ,163,163,65261,N ,44,4,38,W ,121,19,49,1308.  m,1308.0 m,-         ,-       ,-       ,27.    m,75400
EDUCATIONAL MEDIA FOUNDATION                                                ,MESQUITE                 ,NV ,KAER        ,89.3  MHz ,207,ND  ,C  ,LIC    ,BLED   -20140616AAG ,97.    kW ,0.     kW ,586,0,93355,N ,36,36,4,W ,114,35,6,1173.  m,0.0    m,-         ,-       ,1249595,404.   m,1641003
-                                                                           ,MONTERREY                ,NL ,XHSRFM      ,97.3  MHz ,247,ND  ,C  ,OPER   ,-      --           ,96.4   kW ,0.     kW ,-149,0,96037,N ,25,40,3,W ,100,21,28,0.     m,0.0    m,-         ,-       ,-       ,0.     m,298633
"EDUCATIONAL RADIO FOUNDATION OF EAST TEXAS, INC.                            ",TYLER                    ,TX ,KVNE        ,89.5  MHz ,208,ND  ,C1 ,LIC    ,BLED   -19950315KA  ,96.    kW ,96.    kW ,278,278,18758,N ,32,32,21,W ,95,13,16,397.   m,397.0  m,-         ,-       ,-       ,290.   m,207349
WESTERN NEW YORK PUBLIC BROADCASTING ASSOCIATION                            ,BUFFALO                  ,NY ,WNED-FM     ,94.5  MHz ,233,ND  ,B  ,LIC    ,BLED   -20121220AAP ,96.    kW ,96.    kW ,220.5,220.5,27669,N ,42,38,14.9,W ,78,46,6.9,570.   m,570.0  m,-         ,-       ,1033434,128.4  m,1534529
"MIDWEST COMMUNICATIONS, INC.                                                ",FARGO                    ,ND ,KRWK        ,101.9 MHz ,270,ND  ,C1 ,LIC    ,BMLH   -20071019AJB ,96.    kW ,96.    kW ,305,305,34422,N ,47,0,36,W ,97,11,41,595.   m,595.0  m,-         ,-       ,1046928,308.   m,1199587
RENDA BROADCASTING CORP. OF NEVADA                                          ,TICE                     ,FL ,WJGO        ,102.9 MHz ,275,ND  ,C1 ,LIC    ,BLH    -20071212ABB ,96.    kW ,96.    kW ,142,142,25568,N ,26,29,16,W ,81,55,46,144.   m,144.0  m,-         ,-       ,1043720,142.   m,1241813
REGENTS OF THE UNIVERSITY OF MICHIGAN                                       ,GRAND RAPIDS             ,MI ,WVGR        ,104.1 MHz ,281,DA  ,B  ,LIC    ,BMLED  -20080306ABQ ,96.    kW ,96.    kW ,221,221,66309,N ,42,39,17,W ,85,31,38,469.   m,469.0  m,75841,0,1243207,227.5  m,1235719
"ENTERCOM NEW ORLEANS LICENSE, LLC                                           ",KENNER                   ,LA ,WWL-FM      ,105.3 MHz ,287,ND  ,C1 ,LIC    ,BMLH   -20090514AAR ,96.    kW ,96.    kW ,306,306,52435,N ,29,58,57,W ,89,57,9,306.   m,306.0  m,-         ,-       ,1000007,306.   m,1305269
-                                                                           ,KINGSTON                 ,ON ,CFLYFM      ,98.3  MHz ,252,ND  ,C1 ,OPER   ,-      --           ,96.    kW ,0.     kW ,158,0,95321,N ,44,25,35,W ,76,38,20,0.     m,0.0    m,-         ,-       ,-       ,0.     m,292879
EDWARD MAGNUS                                                               ,WALSENBURG               ,CO ,KFEZ        ,101.3 MHz ,267,ND  ,C1 ,LIC    ,BLH    -20090105AGJ ,95.5   kW ,95.5   kW ,305,305,164170,N ,37,47,20,W ,104,29,12,2095.  m,2095.0 m,-         ,-       ,1250619,229.5  m,1286844
"AANIIIH NAKODA COLLEGE, INC.                                                ",FORT BELKNAP AGENCY      ,MT ,KGVA        ,88.1  MHz ,201,ND  ,C1 ,LIC    ,BLED   -19960910KB  ,95.    kW ,95.    kW ,243,243,22805,N ,48,11,18,W ,108,42,36,1132.  m,1132.0 m,-         ,-       ,-       ,199.   m,231923
FLORIDA STATE UNIVERSITY                                                    ,TALLAHASSEE              ,FL ,WFSU-FM     ,88.9  MHz ,205,ND  ,C  ,LIC    ,BLED   -19950120KD  ,95.    kW ,95.    kW ,379,379,21799,N ,30,40,13,W ,83,56,26,427.   m,427.0  m,-         ,-       ,-       ,359.   m,205745
"PENSACOLA CHRISTIAN COLLEGE, INC.                                           ",PENSACOLA                ,FL ,WPCS        ,89.5  MHz ,208,ND  ,C0 ,LIC    ,BMLED  -20071019AUP ,95.    kW ,95.    kW ,414,414,52230,N ,30,35,16,W ,87,33,13,439.   m,439.0  m,-         ,-       ,1030889,397.   m,1237706
"HOUSTON CHRISTIAN BROADCASTERS, INC.                                        ",MADISONVILLE             ,TX ,KHML        ,91.5  MHz ,218,ND  ,C1 ,LIC    ,BLED   -20070607ACN ,95.    kW ,95.    kW ,104,104,83276,N ,31,6,39.6,W ,95,57,8.6,201.   m,201.0  m,-         ,-       ,1022026,103.   m,1190197
"POST ROCK RADIO, LLC                                                        ",BURDETT                  ,KS ,KKDT        ,93.5  MHz ,228,ND  ,C1 ,LIC    ,BLH    -20091124AIF ,95.    kW ,95.    kW ,304.8,304.8,164130,N ,38,36,32,W ,99,42,11,1006.  m,1006.0 m,-         ,-       ,1250963,297.3  m,1344742
-                                                                           ,OTTAWA                   ,ON ,CKKL        ,93.9  MHz ,230,ND  ,C1 ,OPER   ,-      --           ,95.    kW ,95.    kW ,328,328,96799,N ,45,30,11,W ,75,51,2,0.     m,0.0    m,-         ,-       ,-       ,0.     m,300877
"TOWNSQUARE MEDIA PRESQUE ISLE LICENSE, LLC                                  ",PRESQUE ISLE             ,ME ,WQHR        ,96.1  MHz ,241,ND  ,C  ,LIC    ,BLH    -19980430KC  ,95.    kW ,95.    kW ,390,390,9422,N ,46,32,51,W ,67,48,35,574.   m,574.0  m,-         ,-       ,1022879,132.   m,266413
"CCR-HELENA IV, LLC                                                          ",HELENA                   ,MT ,KZMT        ,101.1 MHz ,266,ND  ,C  ,LIC    ,BLH    -20041122ACA ,95.    kW ,95.    kW ,607,607,50357,N ,46,44,51.8,W ,112,19,47.6,2278.  m,2278.0 m,-         ,-       ,-       ,45.7   m,1023412
REGENTS OF UNIVERSITY OF MINNESOTA                                          ,DULUTH                   ,MN ,KUMD-FM     ,103.3 MHz ,277,ND  ,C1 ,LIC    ,BMLED  -20080826AAE ,95.    kW ,95.    kW ,250,250,55571,N ,46,47,31,W ,92,7,21,565.   m,565.0  m,-         ,-       ,1029956,181.   m,1262744
-                                                                           ,DAUPHIN                  ,MB ,CBWWFM      ,105.3 MHz ,287,ND  ,C  ,OPER   ,-      --           ,95.    kW ,95.    kW ,324,324,96407,N ,51,28,14,W ,100,43,10,0.     m,0.0    m,-         ,-       ,-       ,0.     m,299542
NOALMARK BROADCASTING CORPORATION                                           ,HOT SPRINGS              ,AR ,KLAZ        ,105.9 MHz ,290,ND  ,C1 ,LIC    ,BLH    -19890619KC  ,95.    kW ,95.    kW ,303,303,48947,N ,34,22,20,W ,93,2,51,465.   m,465.0  m,-         ,-       ,-       ,172.   m,130192
WQBA-FM LICENSE CORP.                                                       ,MIAMI                    ,FL ,WAMR-FM     ,107.5 MHz ,298,DA  ,C1 ,LIC    ,BLH    -20050303ADC ,95.    kW ,95.    kW ,307,307,61658,N ,25,58,2,W ,80,12,34,308.   m,308.0  m,64624,0,1028046,306.   m,1047853
"WCHZ LICENSE, LLC                                                           ",CONCORD                  ,NC ,WPEG        ,97.9  MHz ,250,DA  ,C  ,LIC    ,BMLH   -20121024AAF ,95.    kW ,71.7   kW ,491,491,6586,N ,35,21,44,W ,81,9,19,727.   m,727.0  m,14265,0,1006705,483.   m,1521668
-                                                                           ,THUNDER BAY              ,ON ,CJSDFM      ,94.3  MHz ,232,ND  ,C  ,OPER   ,-      --           ,95.    kW ,0.     kW ,308,0,94300,N ,48,31,30,W ,89,6,50,0.     m,0.0    m,-         ,-       ,-       ,0.     m,288630
-                                                                           ,VANCOUVER                ,BC ,CKPK-FM     ,102.7 MHz ,274,DA  ,C  ,PROPN  ,-      -20140725CA2 ,95.    kW ,0.     kW ,603.9,0,198205,N ,49,21,13,W ,122,57,26,906.2  m,0.0    m,119355,0,-       ,0.     m,1646492
-                                                                           ,BALDY MOUNTAIN           ,MB ,CBWWFM      ,105.3 MHz ,287,ND  ,C  ,OPER   ,-      --           ,95.    kW ,0.     kW ,325,0,96402,N ,51,28,14,W ,100,43,10,0.     m,0.0    m,-         ,-       ,-       ,0.     m,299527
MINNESOTA PUBLIC RADIO                                                      ,ROCHESTER                ,MN ,KZSE        ,91.7  MHz ,219,ND  ,C1 ,LIC    ,BMLED  -20120508AAX ,94.    kW ,94.    kW ,288,288,42965,N ,44,2,28,W ,92,20,25,638.   m,638.0  m,-         ,-       ,1029133,258.   m,1497369
"NM LICENSE, LLC                                                             ",MYRTLE BEACH             ,SC ,WMYB        ,92.1  MHz ,221,ND  ,C1 ,LIC    ,BMLH   -20081006AAK ,94.    kW ,94.    kW ,263,263,27265,N ,33,35,27,W ,79,2,55,267.   m,267.0  m,-         ,-       ,1044153,261.   m,1276509
-                                                                           ,YARMOUTH                 ,NS ,CBHYFM      ,92.1  MHz ,221,DA  ,B  ,OPER   ,-      --           ,94.    kW ,94.    kW ,146,146,95632,N ,43,55,55,W ,66,6,10,0.     m,0.0    m,-         ,0,-       ,0.     m,294413
"COMMUNITY BROADCASTING, INC.                                                ",KINGMAN                  ,KS ,KCVW        ,94.3  MHz ,232,DA  ,C1 ,CP     ,BPED   -20111214ABT ,94.    kW ,94.    kW ,307,307,6506,N ,37,46,25,W ,97,30,53.8,727.7  m,727.7  m,110476,0,1031267,311.   m,1514726
"SUN VALLEY RADIO,INC.                                                       ",LOGAN                    ,UT ,KVFX        ,94.5  MHz ,233,ND  ,C0 ,LIC    ,BMLH   -20001228AAB ,94.    kW ,94.    kW ,350,350,55458,N ,41,53,50,W ,111,57,39,1773.  m,1773.0 m,-         ,-       ,-       ,37.    m,1020048
CAPSTAR TX LLC                                                              ,SPOKANE                  ,WA ,KISC        ,98.1  MHz ,251,ND  ,C  ,LIC    ,BMLH   -20071016AII ,94.    kW ,94.    kW ,619,619,60419,N ,47,34,52,W ,117,17,47,1339.  m,1339.0 m,-         ,-       ,1032881,228.   m,1211980
"PROGRAMMERS BROADCASTING, INC.                                              ",BOTTINEAU                ,ND ,KBTO        ,101.9 MHz ,270,ND  ,C1 ,LIC    ,BLH    -20130816ACZ ,94.    kW ,94.    kW ,149,149,16903,N ,48,51,6,W ,100,20,4,727.   m,727.0  m,-         ,-       ,1204952,56.    m,1569046
STARADIO CORP.                                                              ,CASCADE                  ,MT ,KIKF        ,104.9 MHz ,285,ND  ,C  ,LIC    ,BLH    -20011210ABW ,94.    kW ,94.    kW ,621,621,22280,N ,47,9,34,W ,111,0,39,2179.  m,2179.0 m,-         ,-       ,1204913,45.    m,590787
"SERVICE BROADCASTING GROUP, LLC                                             ",DECATUR                  ,TX ,KRNB        ,105.7 MHz ,289,ND  ,C  ,LIC    ,BMLH   -20031209AAL ,94.    kW ,94.    kW ,576,576,9747,N ,33,23,12,W ,97,33,57,858.   m,858.0  m,28594,-       ,1040339,596.   m,708101
-                                                                           ,CHARLOTTETOWN            ,PE ,CBAF29      ,88.1  MHz ,201,DA  ,C  ,OPER   ,-      --           ,94.    kW ,0.     kW ,213,0,95151,N ,46,12,44,W ,63,20,32,0.     m,0.0    m,-         ,0,-       ,0.     m,292011
REGENTS OF THE UNIVERSITY OF MICHIGAN                                       ,ANN ARBOR                ,MI ,WUOM        ,91.7  MHz ,219,ND  ,B  ,LIC    ,BLED   -19990204KA  ,93.    kW ,93.    kW ,237,237,66319,N ,42,24,27,W ,83,54,50,513.   m,513.0  m,-         ,-       ,1005858,196.   m,281410
CAPSTAR TX LLC                                                              ,TUCSON                   ,AZ ,KMIY        ,92.9  MHz ,225,ND  ,C  ,LIC    ,BLH    -19850225KK  ,93.    kW ,93.    kW ,621,621,53594,N ,32,14,56,W ,111,6,59,1386.  m,1386.0 m,-         ,-       ,-       ,47.    m,76417
"ENTERCOM LICENSE, LLC                                                       ",FOREST CITY              ,NC ,WTPT        ,93.3  MHz ,227,ND  ,C  ,LIC    ,BMLH   -19950626KB  ,93.    kW ,93.    kW ,619,619,4677,N ,35,16,19,W ,82,14,0,1041.  m,1041.0 m,-         ,-       ,1006716,140.   m,210704
CAPSTAR TX LLC                                                              ,TUCSON                   ,AZ ,KRQQ        ,93.7  MHz ,229,ND  ,C  ,LIC    ,BMLH   -20130610AAM ,93.    kW ,93.    kW ,613,613,53591,N ,32,14,56.5,W ,111,6,57.1,1378.  m,1378.0 m,-         ,-       ,1218220,46.    m,1558709
RADIO LICENSE HOLDINGS LLC                                                  ,FLOWER MOUND             ,TX ,KTCK-FM     ,96.7  MHz ,244,ND  ,C  ,LIC    ,BLH    -20010424AAN ,93.    kW ,93.    kW ,621,621,26468,N ,33,26,13,W ,97,29,5,901.   m,901.0  m,-         ,-       ,1034017,572.   m,561839
"SM-WHZT, LLC                                                                ",WILLIAMSTON              ,SC ,WHZT        ,98.1  MHz ,251,DA  ,C1 ,CP     ,BPH    -20121213AAA ,93.    kW ,93.    kW ,308,308,5971,N ,34,42,7,W ,82,36,19,572.   m,572.0  m,115889,0,1052699,287.   m,1570524
LIBERMAN BROADCASTING OF DALLAS LICENSE LLC                                 ,BRIDGEPORT               ,TX ,KBOC        ,98.3  MHz ,252,ND  ,C  ,LIC    ,BLH    -20060718AEC ,93.    kW ,93.    kW ,620,620,64694,N ,33,26,13,W ,97,29,5,901.   m,901.0  m,-         ,-       ,1034017,572.   m,1140051
"RADIO LICENSE HOLDING CBC, LLC                                              ",TUCSON                   ,AZ ,KIIM-FM     ,99.5  MHz ,258,ND  ,C  ,LIC    ,BLH    -19850131LP  ,93.    kW ,93.    kW ,621,621,56052,N ,32,14,56,W ,111,6,59,1385.  m,1385.0 m,-         ,-       ,-       ,47.    m,75801
"CITICASTERS LICENSES, INC.                                                  ",ST. LOUIS                ,MO ,KLOU        ,103.3 MHz ,277,ND  ,C1 ,CP     ,BPH    -20120605AAH ,93.    kW ,93.    kW ,309,309,9626,N ,38,34,27.7,W ,90,19,31.5,462.   m,462.0  m,-         ,-       ,1020785,325.   m,1503116
-                                                                           ,MIDDLETON                ,NS ,CBHMFM      ,106.5 MHz ,293,ND  ,C  ,OPER   ,-      --           ,93.    kW ,93.    kW ,227,227,95429,N ,45,4,38,W ,64,49,2,0.     m,0.0    m,-         ,-       ,-       ,0.     m,293378
BIG RIVER BROADCASTING CORPORATION                                          ,FLORENCE                 ,AL ,WQLT-FM     ,107.3 MHz ,297,ND  ,C1 ,LIC    ,BLH    -20000120AAP ,93.    kW ,93.    kW ,310,310,5274,N ,34,40,24,W ,87,42,56,490.   m,490.0  m,-         ,-       ,1037310,231.   m,431954
M&M BROADCASTING LLC                                                        ,LOGANDALE                ,NV ,KADD        ,93.5  MHz ,228,ND  ,C  ,LIC    ,BLH    -20080201BGH ,93.    kW ,0.     kW ,637,0,72528,N ,36,38,7,W ,114,7,18,1755.  m,0.0    m,-         ,-       ,-       ,51.    m,1230740
